Qmax,WLmax
1e-05,0.69699
1e-05,0.70176
1e-05,0.70654
1e-05,0.71131
1e-05,0.71608
1e-05,0.72086
1e-05,0.72563
1e-05,0.7304
1e-05,0.73518
1e-05,0.73995
1e-05,0.74473
1e-05,0.7495
1e-05,0.75427
1e-05,0.75905
1e-05,0.76382
1e-05,0.76859
1e-05,0.77337
1e-05,0.77814
1e-05,0.78292
1e-05,0.78769
1e-05,0.79246
1e-05,0.79724
1e-05,0.80201
1e-05,0.80679
1e-05,0.81156
1e-05,0.81633
1e-05,0.82111
1e-05,0.82588
1e-05,0.83065
1e-05,0.83543
1e-05,0.8402
1e-05,0.84498
1e-05,0.84975
1e-05,0.85452
1e-05,0.8593
1e-05,0.86407
1e-05,0.86885
1e-05,0.87362
1e-05,0.87839
1e-05,0.88317
1e-05,0.88794
1e-05,0.89271
1e-05,0.89749
1e-05,0.90226
1e-05,0.90704
1e-05,0.91181
1e-05,0.91658
1e-05,0.92136
1e-05,0.92613
1e-05,0.9309
1e-05,0.93568
1e-05,0.94045
1e-05,0.94523
1e-05,0.95
1e-05,0.95001
1e-05,0.95026
1e-05,0.95051
1e-05,0.95076
1e-05,0.95101
1e-05,0.95127
1e-05,0.95152
1e-05,0.95177
1e-05,0.95202
1e-05,0.95227
1e-05,0.95252
1e-05,0.95277
1e-05,0.95302
1e-05,0.95328
1e-05,0.95353
1e-05,0.95378
1e-05,0.95403
1e-05,0.95428
1e-05,0.95453
1e-05,0.95478
1e-05,0.95503
1e-05,0.95528
1e-05,0.95554
1e-05,0.95579
1e-05,0.95604
1e-05,0.95629
1e-05,0.95654
1e-05,0.95679
1e-05,0.95704
1e-05,0.95729
1e-05,0.95754
1e-05,0.9578
1e-05,0.95805
1e-05,0.9583
1e-05,0.95855
1e-05,0.9588
1e-05,0.95905
1e-05,0.9593
1e-05,0.95955
1e-05,0.95981
1e-05,0.96006
1e-05,0.96031
1e-05,0.96056
1e-05,0.96081
1e-05,0.96106
1e-05,0.96131
1e-05,0.96156
1e-05,0.96181
1e-05,0.96207
1e-05,0.96232
1e-05,0.96257
1e-05,0.96282
1e-05,0.96307
1e-05,0.96332
1e-05,0.96357
1e-05,0.96382
1e-05,0.96407
1e-05,0.96433
1e-05,0.96458
1e-05,0.96483
1e-05,0.96508
1e-05,0.96533
1e-05,0.96558
1e-05,0.96583
1e-05,0.96608
1e-05,0.96634
1e-05,0.96659
1e-05,0.96684
1e-05,0.96709
1e-05,0.96734
1e-05,0.96759
1e-05,0.96784
1e-05,0.96809
1e-05,0.96834
1e-05,0.9686
1e-05,0.96885
1e-05,0.9691
1e-05,0.96935
1e-05,0.9696
1e-05,0.96985
1e-05,0.9701
1e-05,0.97035
1e-05,0.9706
1e-05,0.97086
1e-05,0.97111
1e-05,0.97136
1e-05,0.97161
1e-05,0.97186
1e-05,0.97211
1e-05,0.97236
1e-05,0.97261
1e-05,0.97287
1e-05,0.97312
1e-05,0.97337
1e-05,0.97362
1e-05,0.97387
1e-05,0.97412
1e-05,0.97437
1e-05,0.97462
1e-05,0.97487
1e-05,0.97513
1e-05,0.97538
1e-05,0.97563
1e-05,0.97588
1e-05,0.97613
1e-05,0.97638
1e-05,0.97663
1e-05,0.97688
1e-05,0.97713
1e-05,0.97739
1e-05,0.97764
1e-05,0.97789
1e-05,0.97814
1e-05,0.97839
1e-05,0.97864
1e-05,0.97889
1e-05,0.97914
1e-05,0.9794
1e-05,0.97965
1e-05,0.9799
1e-05,0.98015
1e-05,0.9804
1e-05,0.98065
1e-05,0.9809
1e-05,0.98115
1e-05,0.9814
1e-05,0.98166
1e-05,0.98191
1e-05,0.98216
1e-05,0.98241
1e-05,0.98266
1e-05,0.98291
1e-05,0.98316
1e-05,0.98341
1e-05,0.98366
1e-05,0.98392
1e-05,0.98417
1e-05,0.98442
1e-05,0.98467
1e-05,0.98492
1e-05,0.98517
1e-05,0.98542
1e-05,0.98567
1e-05,0.98593
1e-05,0.98618
1e-05,0.98643
1e-05,0.98668
1e-05,0.98693
1e-05,0.98718
1e-05,0.98743
1e-05,0.98768
1e-05,0.98793
1e-05,0.98819
1e-05,0.98844
1e-05,0.98869
1e-05,0.98894
1e-05,0.98919
1e-05,0.98944
1e-05,0.98969
1e-05,0.98994
1e-05,0.99019
1e-05,0.99045
1e-05,0.9907
1e-05,0.99095
1e-05,0.9912
1e-05,0.99145
1e-05,0.9917
1e-05,0.99195
1e-05,0.9922
1e-05,0.99246
1e-05,0.99271
1e-05,0.99296
1e-05,0.99321
1e-05,0.99346
1e-05,0.99371
1e-05,0.99396
1e-05,0.99421
1e-05,0.99446
1e-05,0.99472
1e-05,0.99497
1e-05,0.99522
1e-05,0.99547
1e-05,0.99572
1e-05,0.99597
1e-05,0.99622
1e-05,0.99647
1e-05,0.99672
1e-05,0.99698
1e-05,0.99723
1e-05,0.99748
1e-05,0.99773
1e-05,0.99798
1e-05,0.99823
1e-05,0.99848
1e-05,0.99873
1e-05,0.99899
1e-05,0.99924
1e-05,0.99949
1e-05,0.99974
1e-05,0.99999
0.0047838,1e-05
0.0047838,0.0047838
0.0047838,0.0095576
0.0047838,0.014331
0.0047838,0.019105
0.0047838,0.023879
0.0047838,0.028653
0.0047838,0.033427
0.0047838,0.038201
0.0047838,0.042974
0.0047838,0.047748
0.0047838,0.052522
0.0047838,0.057296
0.0047838,0.06207
0.0047838,0.066843
0.0047838,0.071617
0.0047838,0.076391
0.0047838,0.081165
0.0047838,0.085939
0.0047838,0.090713
0.0047838,0.095486
0.0047838,0.10026
0.0047838,0.10503
0.0047838,0.10981
0.0047838,0.11458
0.0047838,0.11936
0.0047838,0.12413
0.0047838,0.1289
0.0047838,0.13368
0.0047838,0.13845
0.0047838,0.14322
0.0047838,0.148
0.0047838,0.15277
0.0047838,0.15755
0.0047838,0.16232
0.0047838,0.16709
0.0047838,0.17187
0.0047838,0.17664
0.0047838,0.18142
0.0047838,0.18619
0.0047838,0.19096
0.0047838,0.19574
0.0047838,0.20051
0.0047838,0.20528
0.0047838,0.21006
0.0047838,0.21483
0.0047838,0.21961
0.0047838,0.22438
0.0047838,0.22915
0.0047838,0.23393
0.0047838,0.2387
0.0047838,0.24347
0.0047838,0.24825
0.0047838,0.25302
0.0047838,0.2578
0.0047838,0.26257
0.0047838,0.26734
0.0047838,0.27212
0.0047838,0.27689
0.0047838,0.28167
0.0047838,0.28644
0.0047838,0.29121
0.0047838,0.29599
0.0047838,0.30076
0.0047838,0.30553
0.0047838,0.31031
0.0047838,0.31508
0.0047838,0.31986
0.0047838,0.32463
0.0047838,0.3294
0.0047838,0.33418
0.0047838,0.33895
0.0047838,0.34372
0.0047838,0.3485
0.0047838,0.35327
0.0047838,0.35805
0.0047838,0.36282
0.0047838,0.36759
0.0047838,0.37237
0.0047838,0.37714
0.0047838,0.38192
0.0047838,0.38669
0.0047838,0.39146
0.0047838,0.39624
0.0047838,0.40101
0.0047838,0.40578
0.0047838,0.41056
0.0047838,0.41533
0.0047838,0.42011
0.0047838,0.42488
0.0047838,0.42965
0.0047838,0.43443
0.0047838,0.4392
0.0047838,0.44398
0.0047838,0.44875
0.0047838,0.45352
0.0047838,0.4583
0.0047838,0.46307
0.0047838,0.46784
0.0047838,0.47262
0.0047838,0.47739
0.0047838,0.48217
0.0047838,0.48694
0.0047838,0.49171
0.0047838,0.49649
0.0047838,0.50126
0.0047838,0.50603
0.0047838,0.51081
0.0047838,0.51558
0.0047838,0.52036
0.0047838,0.52513
0.0047838,0.5299
0.0047838,0.53468
0.0047838,0.53945
0.0047838,0.54423
0.0047838,0.549
0.0047838,0.55377
0.0047838,0.55855
0.0047838,0.56332
0.0047838,0.56809
0.0047838,0.57287
0.0047838,0.57764
0.0047838,0.58242
0.0047838,0.58719
0.0047838,0.59196
0.0047838,0.59674
0.0047838,0.60151
0.0047838,0.60629
0.0047838,0.61106
0.0047838,0.61583
0.0047838,0.62061
0.0047838,0.62538
0.0047838,0.63015
0.0047838,0.63493
0.0047838,0.6397
0.0047838,0.64448
0.0047838,0.64925
0.0047838,0.65402
0.0047838,0.6588
0.0047838,0.66357
0.0047838,0.66834
0.0047838,0.67312
0.0047838,0.67789
0.0047838,0.68267
0.0047838,0.68744
0.0047838,0.69221
0.0047838,0.69699
0.0047838,0.70176
0.0047838,0.70654
0.0047838,0.71131
0.0047838,0.71608
0.0047838,0.72086
0.0047838,0.72563
0.0047838,0.7304
0.0047838,0.73518
0.0047838,0.73995
0.0047838,0.74473
0.0047838,0.7495
0.0047838,0.75427
0.0047838,0.75905
0.0047838,0.76382
0.0047838,0.76859
0.0047838,0.77337
0.0047838,0.77814
0.0047838,0.78292
0.0047838,0.78769
0.0047838,0.79246
0.0047838,0.79724
0.0047838,0.80201
0.0047838,0.80679
0.0047838,0.81156
0.0047838,0.81633
0.0047838,0.82111
0.0047838,0.82588
0.0047838,0.83065
