0.42	2.8
1.3	2.66
0.24	2.57
0.57	2.43
3	2.37
1.36	2.67
0.36	2.66
0.51	2.65
1.29	2.5
4.37	2.36
9.37	2.29
4.66	2.49
5.55	2.37
0.78	2.6
3.58	2.79
1.03	2.46
0.24	2.53
0.4	2.35
1.35	2.29
0.61	2.29
0.6	2.41
0.29	2.43
17.36	2.36
1.87	2.32
1.01	2.41
1.77	2.48
0.55	2.45
0.55	2.35
0.57	2.82
1.69	2.44
1.37	2.49
2.04	2.28
0.58	2.36
1.05	2.42
2.31	2.38
0.78	2.63
0.67	2.45
1.18	2.38
0.57	2.49
0.65	2.52
0.43	2.54
11.54	2.63
1.77	2.4
0.76	2.41
0.48	2.45
0.28	2.46
0.25	2.14
0.56	2.89
0.23	2.38
4.47	2.47
0.44	2.52
