252.73	2.264
295.76	2.334
246.83	2.645
230.48	2.186
212.99	2.277
187.19	2.228
193.44	2.414
218.85	2.422
316.05	2.342
260.73	2.208
266.04	2.306
330.51	2.46
242.73	2.286
240.45	2.437
126.97	2.351
154.07	2.361
207.7	2.269
223.78	2.15
178.98	2.478
289.49	2.211
249.29	2.829
195.12	2.432
119.01	2.643
236.7	2.472
234.24	2.433
184.68	2.414
402.29	2.186
167.56	1.973
318.17	2.144
89.76	2.172
183.2	2.492
405.55	2.707
193.56	2.095
260.24	2.586
235.49	2.504
270.48	2.524
469.95	2.315
379.47	2.544
222.32	2.661
229.13	2.529
206.48	2.335
180.7	2.233
443.87	2.139
161.84	2.477
160.91	2.263
