288.8250732	4.002
371.6451874	3.458
378.0059509	3.739
383.6256561	2.481
292.1525726	3.375
313.1615295	2.527
510.9139557	3.097
448.3905029	3.287
499.8970032	3.453
314.9031982	3.363
289.395813	3.708
428.9641724	3.34
212.1835327	3.008
373.0153656	3.388
451.5647736	2.917
336.6975708	3.746
399.6529236	3.26
252.7679443	2.787
367.9750824	3.657
427.3155975	3.662
245.6432571	3.395
263.0571289	4.178
236.695816	3.008
422.1203003	2.879
427.8893433	3.189
385.6004181	3.693
392.4749603	3.172
263.6183624	3.774
348.8159943	3.364
253.9993973	3.02
360.5873413	3.969
185.4414063	2.675
212.84758	3.115
297.1453247	3.468
306.102417	3.282
264.1134796	2.86
309.8867188	3.346
369.0721283	2.524
488.9704742	3.463
421.0391235	2.962
418.8579712	2.951
370.8821869	3.166
339.3702087	3.423
519.0737305	4.151
360.494812	3.021
286.7374115	4.612
544.2999268	3.516
319.6274872	2.737
528.5637207	3.469
353.3504028	3.399
560.2832642	3.384
606.5831909	4.119
